Program,Total,Percent International,Category,Mid
Biology,76,60.5,STEM,50
Biology: Computational and Integrative,148,71.6,STEM,50
Business and Science,29,72.4,STEM,50
Chemistry,48,77.1,STEM,50
Childhood Studies,59,45.8,Children & Education,50
Computer Science,285,95.8,STEM,50
Creative Writing,137,18.2,Writing & English,50
Criminal Justice,50,22,"Criminal Justice, Prevention Science, Psychology",50
Data Science,407,90.2,STEM,50
English,88,54.5,Writing & English,50
Forensic Science,38,39.5,STEM,50
History,28,0,Humanities,50
Liberal Studies,37,2.7,Humanities,50
Mathematical Sciences,23,78.3,STEM,50
Prevention Science,84,33.3,"Criminal Justice, Prevention Science, Psychology",50
Psychology,186,32.3,"Criminal Justice, Prevention Science, Psychology",50
Public Administration,81,18.5,DPPA,50
Public Affairs,114,66.7,DPPA,50
Teacher Education,36,2.8,Children & Education,50
Teacher Education - Spanish,8,12.5,Children & Education,50
