Program,Total,Percent International,Category,Mid
Biology,16,43.8,STEM,50
Biology: Computational and Integrative,21,52.4,STEM,50
Business and Science,3,66.7,STEM,50
Chemistry,3,66.7,STEM,50
Childhood Studies,9,22.2,Children & Education,50
Computer Science,6,100,STEM,50
Creative Writing,7,0,Writing & English,50
Criminal Justice,15,13.3,"Criminal Justice, Prevention Science, Psychology",50
Data Science,32,78.1,STEM,50
English,8,25,Writing & English,50
Forensic Science,6,50,STEM,50
History,11,0,Humanities,50
Liberal Studies,11,0,Humanities,50
Mathematical Sciences,6,33.3,STEM,50
Prevention Science,13,46.2,"Criminal Justice, Prevention Science, Psychology",50
Psychology,14,21.4,"Criminal Justice, Prevention Science, Psychology",50
Public Administration,28,10.7,DPPA,50
Public Affairs,12,50,DPPA,50
Teacher Education,10,0,Children & Education,50
Teacher Education - Spanish,4,25,Children & Education,50
