Index,Race,Domestic/International,Gender,Age,Mailing City,Mailing State/Province,Mailing Country,Program,Status,Enrolled
1,American Indian or Alaska Native,Domestic,Female,23,Deptford,New Jersey,United States of America,Biology,Admit-Coming,Enrolled
2,American Indian or Alaska Native,Domestic,Female,47,Lawnside,New Jersey,United States of America,History,Admit-Coming,Enrolled
3,Asian,International,Female,21,Hyderabad,Telangana,India,Biology,Admit-Coming,Enrolled
4,Asian,Domestic,Female,22,Pennsauken,New Jersey,United States of America,Biology,Admit-Coming,Enrolled
5,Asian,International,Male,23,Kodad,,India,Biology,Admit-Coming,Enrolled
6,Asian,International,Female,22,Hyderabad,Telangana,India,Biology,Admit-Coming,Enrolled
7,Asian,International,Male,26,SWAT,KHYBER PAKHTUNKHWA,Pakistan,Biology,Admit-Coming,Enrolled
8,Asian,Domestic,Female,20,Mickleton,New Jersey,United States of America,Biology,Admit-Coming,Enrolled
9,Asian,International,Male,30,Howrah,West Bengal,India,Biology: Computational and Integrative,Admit-Coming,Enrolled
10,Asian,International,Female,33,Dhaka,,Bangladesh,Biology: Computational and Integrative,Admit-Coming,Enrolled
11,Asian,International,Male,26,Sambalpur,Odisha,India,Biology: Computational and Integrative,Admit-Coming,Enrolled
12,Asian,International,Male,22,CARY,NC,,Biology: Computational and Integrative,Admit-Coming,Enrolled
13,Asian,Domestic,Male,22,East Brunswick,New Jersey,United States of America,Biology: Computational and Integrative,Admit-Coming,Enrolled
14,Asian,Domestic,Female,36,Edison,New Jersey,United States of America,Biology: Computational and Integrative,Admit-Coming,Enrolled
15,Asian,Domestic,Female,26,London,Ontario,Canada,Business and Science,Admit-Coming,Enrolled
16,Asian,International,Female,21,KUNJPURA,HARYANA,India,Chemistry,Admit-Coming,Enrolled
17,Asian,Domestic,Female,35,CALDWELL,NJ,,Childhood Studies,Admit-Coming,Enrolled
18,Asian,International,Female,29,San Juan City,Metro Manila,Philippines,Childhood Studies,Admit-Coming,Enrolled
19,Asian,Domestic,Male,24,Sewell,New Jersey,United States of America,Childhood Studies,Admit-Coming,Enrolled
20,Asian,International,Male,26,Mandsaur,Madhya Pradesh,India,Computer Science,Admit-Coming,Enrolled
21,Asian,International,Female,27,Mysore,Karnataka,India,Computer Science,Admit-Coming,Enrolled
22,Asian,International,Female,21,Vijayawada,Andhra Pradesh,India,Computer Science,Admit-Coming,Enrolled
23,Asian,International,Female,24,Chittagong,,Bangladesh,Computer Science,Admit-Coming,Enrolled
24,Asian,International,Male,23,Chennai,Tamil Nadu,India,Computer Science,Admit-Coming,Enrolled
25,Asian,Domestic,Male,22,Voorhees,New Jersey,United States of America,Criminal Justice,Admit-Coming,Enrolled
26,Asian,Domestic,Female,22,CHERRY HILL,NJ,,Criminal Justice,Admit-Coming,Enrolled
27,Asian,International,Male,22,AHMEDABAD,GUJARAT,India,Data Science,Admit-Coming,Enrolled
28,Asian,International,Female,22,Bangalore,Karnataka,India,Data Science,Admit-Coming,Enrolled
29,Asian,International,Female,28,Visakhapatnam,Andhra Pradesh,India,Data Science,Admit-Coming,Enrolled
30,Asian,International,Female,23,Bengaluru,Karnataka,India,Data Science,Admit-Coming,Enrolled
31,Asian,International,Male,25,Chennai,TAMILNADU,India,Data Science,Admit-Coming,Enrolled
32,Asian,International,Male,24,New Delhi,Delhi,India,Data Science,Admit-Coming,Enrolled
33,Asian,International,Male,21,THANE,,INDIA,Data Science,Admit-Coming,Enrolled
34,Asian,International,Male,23,Mumbai,Maharashtra,India,Data Science,Admit-Coming,Enrolled
35,Asian,International,Male,22,Vapi,Gujarat,India,Data Science,Admit-Coming,Enrolled
36,Asian,International,Male,24,Pune,Maharashtra,India,Data Science,Admit-Coming,Enrolled
37,Asian,International,Male,26,LAWRENCE,KS,,Data Science,Admit-Coming,Enrolled
38,Asian,International,Male,28,Mysore,Karnataka,India,Data Science,Admit-Coming,Enrolled
39,Asian,Domestic,Female,22,DURG,Chhattisgarh,India,Data Science,Admit-Coming,Enrolled
