Program,Value,Status
Biology,16,Enrolled
Biology: Computational and Integrative,21,Enrolled
Business and Science,3,Enrolled
Chemistry,3,Enrolled
Childhood Studies,9,Enrolled
Computer Science,6,Enrolled
Creative Writing,7,Enrolled
Criminal Justice,15,Enrolled
Data Science,32,Enrolled
English,8,Enrolled
Forensic Science,6,Enrolled
History,11,Enrolled
Liberal Studies,11,Enrolled
Mathematical Sciences,6,Enrolled
Prevention Science,13,Enrolled
Psychology,14,Enrolled
Public Administration,28,Enrolled
Public Affairs,12,Enrolled
Teacher Education,10,Enrolled
Teacher Education - Spanish,4,Enrolled
Biology,26,Admit-Coming
Biology: Computational and Integrative,28,Admit-Coming
Business and Science,4,Admit-Coming
Chemistry,9,Admit-Coming
Childhood Studies,11,Admit-Coming
Computer Science,26,Admit-Coming
Creative Writing,7,Admit-Coming
Criminal Justice,18,Admit-Coming
Data Science,72,Admit-Coming
English,11,Admit-Coming
Forensic Science,8,Admit-Coming
History,12,Admit-Coming
Liberal Studies,11,Admit-Coming
Mathematical Sciences,7,Admit-Coming
Prevention Science,14,Admit-Coming
Psychology,16,Admit-Coming
Public Administration,33,Admit-Coming
Public Affairs,16,Admit-Coming
Teacher Education,14,Admit-Coming
Teacher Education - Spanish,4,Admit-Coming
Biology,76,Total Applications
Biology: Computational and Integrative,148,Total Applications
Business and Science,29,Total Applications
Chemistry,48,Total Applications
Childhood Studies,59,Total Applications
Computer Science,285,Total Applications
Creative Writing,137,Total Applications
Criminal Justice,50,Total Applications
Data Science,407,Total Applications
English,88,Total Applications
Forensic Science,38,Total Applications
History,28,Total Applications
Liberal Studies,37,Total Applications
Mathematical Sciences,23,Total Applications
Prevention Science,84,Total Applications
Psychology,186,Total Applications
Public Administration,81,Total Applications
Public Affairs,114,Total Applications
Teacher Education,36,Total Applications
Teacher Education - Spanish,8,Total Applications
